"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","177","validarImagemAleatoria()","","Tue Dec 16 01:23:18 UTC 2025","passed","Tue Dec 16 01:23:18 UTC 2025","","tests.RandomImageTest","tests.RandomImageTest","validarImagemAleatoria"
"","213","validarQueryParamsExtras()","","Tue Dec 16 01:23:18 UTC 2025","passed","Tue Dec 16 01:23:19 UTC 2025","","tests.RandomImageTest","tests.RandomImageTest","validarQueryParamsExtras"
"","2837","CT02_validarEstruturaDoJson_service()","","Tue Dec 16 01:23:15 UTC 2025","passed","Tue Dec 16 01:23:18 UTC 2025","","tests.BreedsListTest","tests.BreedsListTest","CT02_validarEstruturaDoJson_service"
"","919","validarErroAoBuscarImagensDeRacaInexistente()","","Tue Dec 16 01:23:18 UTC 2025","passed","Tue Dec 16 01:23:19 UTC 2025","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaInexistente"
"Confirma que o endpoint /breeds/list/all retorna todas as raças disponíveis","2838","validarListaDeRacas()","","Tue Dec 16 01:23:15 UTC 2025","passed","Tue Dec 16 01:23:18 UTC 2025","","tests.BreedsListTest","tests.BreedsListTest","validarListaDeRacas"
"","920","validarErroAoBuscarImagensDeRacaComSubracaInexistente()","","Tue Dec 16 01:23:18 UTC 2025","passed","Tue Dec 16 01:23:19 UTC 2025","","tests.BreedImagesTest","tests.BreedImagesTest","validarErroAoBuscarImagensDeRacaComSubracaInexistente"
"","189","validarImagensDeRacaComSubraca()","","Tue Dec 16 01:23:18 UTC 2025","passed","Tue Dec 16 01:23:19 UTC 2025","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaComSubraca"
"","2866","validarImagensDeRacaValida()","","Tue Dec 16 01:23:15 UTC 2025","passed","Tue Dec 16 01:23:18 UTC 2025","","tests.BreedImagesTest","tests.BreedImagesTest","validarImagensDeRacaValida"
"","3074","validarAleatoriedade()","","Tue Dec 16 01:23:15 UTC 2025","passed","Tue Dec 16 01:23:18 UTC 2025","","tests.RandomImageTest","tests.RandomImageTest","validarAleatoriedade"
